train-auc,valid-auc,time_this_iter_s,should_checkpoint,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.739674140622026,0.7287834448160535,2.8244035243988037,True,False,1,bd76d_00000,2023-09-21_14-11-49,1695276709,2.8244035243988037,12218,YLMF-2022VFCVIH,172.17.72.203,2.8244035243988037,1
0.7429289276333321,0.7385033444816054,0.0477755069732666,True,False,2,bd76d_00000,2023-09-21_14-11-49,1695276709,2.8721790313720703,12218,YLMF-2022VFCVIH,172.17.72.203,2.8721790313720703,2
0.7449084472191556,0.7408026755852842,0.05842947959899902,True,False,3,bd76d_00000,2023-09-21_14-11-50,1695276710,2.9306085109710693,12218,YLMF-2022VFCVIH,172.17.72.203,2.9306085109710693,3
0.7583463397921505,0.737876254180602,0.05676984786987305,True,False,4,bd76d_00000,2023-09-21_14-11-50,1695276710,2.9873783588409424,12218,YLMF-2022VFCVIH,172.17.72.203,2.9873783588409424,4
0.7650843199208193,0.750940635451505,0.05032753944396973,True,False,5,bd76d_00000,2023-09-21_14-11-50,1695276710,3.037705898284912,12218,YLMF-2022VFCVIH,172.17.72.203,3.037705898284912,5
0.763219003388024,0.7494774247491639,0.04887890815734863,True,False,6,bd76d_00000,2023-09-21_14-11-50,1695276710,3.0865848064422607,12218,YLMF-2022VFCVIH,172.17.72.203,3.0865848064422607,6
0.7688530206707526,0.7554347826086957,0.05063796043395996,True,False,7,bd76d_00000,2023-09-21_14-11-50,1695276710,3.1372227668762207,12218,YLMF-2022VFCVIH,172.17.72.203,3.1372227668762207,7
0.7814914918725494,0.7480142140468228,0.056284189224243164,True,False,8,bd76d_00000,2023-09-21_14-11-50,1695276710,3.193506956100464,12218,YLMF-2022VFCVIH,172.17.72.203,3.193506956100464,8
0.7858883094141383,0.7488503344481605,0.05223488807678223,True,False,9,bd76d_00000,2023-09-21_14-11-50,1695276710,3.245741844177246,12218,YLMF-2022VFCVIH,172.17.72.203,3.245741844177246,9
0.7946629106551448,0.7494774247491639,0.050356149673461914,True,False,10,bd76d_00000,2023-09-21_14-11-50,1695276710,3.296097993850708,12218,YLMF-2022VFCVIH,172.17.72.203,3.296097993850708,10
0.7953481289733145,0.7606605351170569,0.05209755897521973,True,False,11,bd76d_00000,2023-09-21_14-11-50,1695276710,3.3481955528259277,12218,YLMF-2022VFCVIH,172.17.72.203,3.3481955528259277,11
0.7958049411854277,0.7683946488294314,0.04823565483093262,True,False,12,bd76d_00000,2023-09-21_14-11-50,1695276710,3.3964312076568604,12218,YLMF-2022VFCVIH,172.17.72.203,3.3964312076568604,12
0.7955384673950283,0.772366220735786,0.05071687698364258,True,False,13,bd76d_00000,2023-09-21_14-11-50,1695276710,3.447148084640503,12218,YLMF-2022VFCVIH,172.17.72.203,3.447148084640503,13
0.7958430088697704,0.7717391304347826,0.049771785736083984,True,False,14,bd76d_00000,2023-09-21_14-11-50,1695276710,3.496919870376587,12218,YLMF-2022VFCVIH,172.17.72.203,3.496919870376587,14
0.7969660055578819,0.7698578595317725,0.05079460144042969,True,False,15,bd76d_00000,2023-09-21_14-11-50,1695276710,3.5477144718170166,12218,YLMF-2022VFCVIH,172.17.72.203,3.5477144718170166,15
0.8042369332673494,0.7670359531772575,0.05086708068847656,True,False,16,bd76d_00000,2023-09-21_14-11-50,1695276710,3.598581552505493,12218,YLMF-2022VFCVIH,172.17.72.203,3.598581552505493,16
0.8075488218051696,0.7670359531772575,0.051577091217041016,True,False,17,bd76d_00000,2023-09-21_14-11-50,1695276710,3.650158643722534,12218,YLMF-2022VFCVIH,172.17.72.203,3.650158643722534,17
0.80907152917888,0.7672449832775919,0.04859638214111328,True,False,18,bd76d_00000,2023-09-21_14-11-50,1695276710,3.6987550258636475,12218,YLMF-2022VFCVIH,172.17.72.203,3.6987550258636475,18
0.815771441623206,0.7693352842809364,0.051755666732788086,True,False,19,bd76d_00000,2023-09-21_14-11-50,1695276710,3.7505106925964355,12218,YLMF-2022VFCVIH,172.17.72.203,3.7505106925964355,19
0.8213483573794206,0.7718436454849499,0.04986000061035156,True,False,20,bd76d_00000,2023-09-21_14-11-50,1695276710,3.800370693206787,12218,YLMF-2022VFCVIH,172.17.72.203,3.800370693206787,20
0.8237846891773574,0.7698578595317725,0.05556011199951172,True,False,21,bd76d_00000,2023-09-21_14-11-50,1695276710,3.855930805206299,12218,YLMF-2022VFCVIH,172.17.72.203,3.855930805206299,21
0.8291712665118581,0.7744565217391305,0.05337214469909668,True,False,22,bd76d_00000,2023-09-21_14-11-51,1695276711,3.9093029499053955,12218,YLMF-2022VFCVIH,172.17.72.203,3.9093029499053955,22
0.8321976474171077,0.7759197324414716,0.052095651626586914,True,False,23,bd76d_00000,2023-09-21_14-11-51,1695276711,3.9613986015319824,12218,YLMF-2022VFCVIH,172.17.72.203,3.9613986015319824,23
0.8344436407933306,0.7759197324414716,0.05474448204040527,True,False,24,bd76d_00000,2023-09-21_14-11-51,1695276711,4.016143083572388,12218,YLMF-2022VFCVIH,172.17.72.203,4.016143083572388,24
0.8364231603791541,0.7761287625418061,0.05130290985107422,True,False,25,bd76d_00000,2023-09-21_14-11-51,1695276711,4.067445993423462,12218,YLMF-2022VFCVIH,172.17.72.203,4.067445993423462,25
0.8376032585937797,0.7767558528428093,0.05352020263671875,True,False,26,bd76d_00000,2023-09-21_14-11-51,1695276711,4.120966196060181,12218,YLMF-2022VFCVIH,172.17.72.203,4.120966196060181,26
