,0,1
0,credit_history,0.17248664950721573
1,checking_status,0.15161904360941358
2,property_magnitude,0.13768041408468693
3,purpose,0.13467589469761942
4,german_credit,0.13382467131888937
5,credit_real,0.1164818526128118
6,duration,0.07396985628513729
7,installment_commitment,0.06190274049558255
8,credit_amount,0.0315196682241573
9,employment,0.024435414540379962
10,residence_since,0.021069536163089965
11,existing_credits,0.019383408195525555
12,num_dependents,0.004243582392728479
13,housing,0.00372237261260621
14,other_parties,0.0016801497413734664
15,job,0.0
16,age,0.0
17,other_payment_plans,0.0
18,personal_status,0.0
19,own_telephone,0.0
